Date,ECMWF_Predicted_High
2023-11-23,11.66
2023-11-24,14.78
2023-11-25,8.31
2023-11-26,11.23
2023-11-27,7.56
2023-11-28,8.6
2023-11-29,8.98
2023-11-30,5.18
2023-12-01,5.92
2023-12-02,9.44
2023-12-03,7.12
2023-12-04,3.34
2023-12-05,4.05
2023-12-06,6.59
2023-12-07,8.15
2023-12-08,3.94
2023-12-09,4.88
2023-12-10,8.81
2023-12-11,8.31
2023-12-12,6.73
2023-12-13,8.25
2023-12-14,10.02
2023-12-15,12.37
2023-12-16,8.26
2023-12-17,8.55
2023-12-18,9.8
2023-12-19,11.94
2023-12-20,10.13
2023-12-21,7.62
2023-12-22,11.42
2023-12-23,15.23
2023-12-24,12.38
2023-12-25,10.82
2023-12-26,10.49
2023-12-27,9.52
2023-12-28,9.64
2023-12-29,10.31
2023-12-30,10.14
2023-12-31,7.34
2024-01-01,9.81
2024-01-02,7.55
2024-01-03,9.57
2024-01-04,11.28
2024-01-05,5.73
2024-01-06,10.31
2024-01-07,9.55
2024-01-08,8.12
2024-01-09,4.54
2024-01-10,3.93
2024-01-11,6.29
2024-01-12,5.47
2024-01-13,4.51
2024-01-14,5.99
2024-01-15,6.02
2024-01-16,6.67
2024-01-17,5.26
2024-01-18,7.81
2024-01-19,8.16
2024-01-20,5.94
2024-01-21,6.27
2024-01-22,7.15
2024-01-23,4.1
2024-01-24,8.08
2024-01-25,11.45
2024-01-26,7.91
2024-01-27,13.93
2024-01-28,6.66
2024-01-29,7.21
2024-01-30,7.81
2024-01-31,9.94
2024-02-01,8.2
2024-02-02,13.11
2024-02-03,14.16
2024-02-04,15.21
2024-02-05,12.74
2024-02-06,9.31
2024-02-07,10.74
2024-02-08,11.42
2024-02-09,8.43
2024-02-10,8.06
2024-02-11,12.25
2024-02-12,12.11
2024-02-13,13.48
2024-02-14,12.87
2024-02-15,12.97
2024-02-16,13.33
2024-02-17,14.97
2024-02-18,14.62
2024-02-19,17.04
2024-02-20,15.0
2024-02-21,13.58
2024-02-22,9.96
2024-02-23,7.57
2024-02-24,7.93
2024-02-25,8.08
2024-02-26,4.57
2024-02-27,7.14
2024-02-28,14.48
2024-02-29,13.7
2024-03-01,8.21
2024-03-02,9.16
2024-03-03,10.06
2024-03-04,13.72
2024-03-05,11.84
2024-03-06,11.77
2024-03-07,13.26
2024-03-08,8.46
2024-03-09,8.83
2024-03-10,6.34
2024-03-11,13.21
2024-03-12,15.88
2024-03-13,15.44
2024-03-14,16.27
2024-03-15,15.26
2024-03-16,18.22
2024-03-17,16.57
2024-03-18,15.6
2024-03-19,16.69
2024-03-20,15.8
2024-03-21,19.63
2024-03-22,18.44
2024-03-23,15.57
2024-03-24,14.33
2024-03-25,14.16
2024-03-26,9.21
2024-03-27,8.98
2024-03-28,9.44
2024-03-29,10.62
2024-03-30,13.42
2024-03-31,11.87
2024-04-01,10.48
2024-04-02,17.1
2024-04-03,12.13
2024-04-04,17.05
2024-04-05,16.91
2024-04-06,20.3
2024-04-07,22.03
2024-04-08,22.96
2024-04-09,13.88
2024-04-10,14.43
2024-04-11,20.18
2024-04-12,23.43
2024-04-13,24.77
2024-04-14,25.41
2024-04-15,21.23
2024-04-16,15.96
2024-04-17,15.99
2024-04-18,13.5
2024-04-19,15.31
2024-04-20,14.31
2024-04-21,12.12
2024-04-22,7.65
2024-04-23,11.75
2024-04-24,15.18
2024-04-25,12.7
2024-04-26,12.27
2024-04-27,12.04
2024-04-28,14.07
2024-04-29,20.52
2024-04-30,22.39
2024-05-01,14.62
2024-05-02,14.45
2024-05-03,19.5
2024-05-04,18.42
2024-05-05,19.18
2024-05-06,14.79
2024-05-07,14.7
2024-05-08,20.54
2024-05-09,21.26
2024-05-10,21.64
2024-05-11,22.7
2024-05-12,23.17
2024-05-13,20.42
2024-05-14,19.95
2024-05-15,13.76
2024-05-16,15.29
2024-05-17,19.0
2024-05-18,19.36
2024-05-19,21.02
2024-05-20,21.32
2024-05-21,20.74
2024-05-22,20.22
2024-05-23,16.5
2024-05-24,18.3
2024-05-25,18.37
2024-05-26,22.79
2024-05-27,21.93
2024-05-28,23.91
2024-05-29,21.42
2024-05-30,19.42
2024-05-31,17.66
2024-06-01,22.72
2024-06-02,21.81
2024-06-03,21.72
2024-06-04,20.06
2024-06-05,23.61
2024-06-06,24.48
2024-06-07,25.11
2024-06-08,25.12
2024-06-09,23.8
2024-06-10,24.14
2024-06-11,21.36
2024-06-12,20.86
2024-06-13,21.24
2024-06-14,20.4
2024-06-15,19.16
2024-06-16,23.13
2024-06-17,24.44
2024-06-18,26.81
2024-06-19,27.78
2024-06-20,27.18
2024-06-21,23.95
2024-06-22,26.18
2024-06-23,17.77
2024-06-24,23.39
2024-06-25,21.36
2024-06-26,23.88
2024-06-27,27.43
2024-06-28,28.92
2024-06-29,24.8
2024-06-30,24.34
2024-07-01,23.52
2024-07-02,26.85
2024-07-03,21.18
2024-07-04,24.66
2024-07-05,25.85
2024-07-06,22.83
2024-07-07,21.96
2024-07-08,26.38
2024-07-09,28.83
2024-07-10,29.73
2024-07-11,30.22
2024-07-12,23.53
2024-07-13,25.57
2024-07-14,27.18
2024-07-15,28.76
2024-07-16,28.95
2024-07-17,28.21
2024-07-18,29.47
2024-07-19,28.52
2024-07-20,29.52
2024-07-21,27.01
2024-07-22,30.47
2024-07-23,29.25
2024-07-24,29.23
2024-07-25,27.82
2024-07-26,29.18
2024-07-27,28.84
2024-07-28,31.79
2024-07-29,28.61
2024-07-30,29.6
2024-07-31,30.65
2024-08-01,30.58
2024-08-02,29.38
2024-08-03,30.29
2024-08-04,29.78
2024-08-05,30.76
2024-08-06,29.39
2024-08-07,28.14
2024-08-09,31.38
2024-08-10,32.32
2024-08-11,33.16
2024-08-12,32.67
2024-08-13,30.76
2024-08-14,32.16
2024-08-15,32.13
2024-08-16,31.45
2024-08-17,30.42
2024-08-18,24.31
2024-08-19,28.56
2024-08-20,28.54
2024-08-21,32.09
2024-08-22,27.22
2024-08-23,29.58
2024-08-24,29.38
2024-08-25,29.82
2024-08-26,25.92
2024-08-27,27.75
2024-08-28,29.32
2024-08-29,31.44
2024-08-30,31.45
2024-08-31,30.85
2024-09-01,29.37
2024-09-02,27.02
2024-09-03,28.13
2024-09-04,26.09
2024-09-05,19.15
2024-09-06,23.11
2024-09-07,24.73
2024-09-08,20.45
2024-09-09,25.82
2024-09-10,25.84
2024-09-11,21.18
2024-09-12,18.7
2024-09-13,17.08
2024-09-14,17.33
2024-09-15,22.88
2024-09-16,20.95
2024-09-17,18.38
2024-09-18,19.13
2024-09-19,21.16
2024-09-20,22.16
2024-09-21,20.94
2024-09-22,20.87
2024-09-23,16.41
2024-09-24,19.01
2024-09-25,18.8
2024-09-26,16.92
2024-09-27,19.72
2024-09-28,20.48
2024-09-29,18.59
2024-09-30,16.86
2024-10-01,17.67
2024-10-02,19.9
2024-10-03,13.74
2024-10-04,15.12
2024-10-05,16.57
2024-10-06,15.89
2024-10-07,14.03
2024-10-08,14.57
2024-10-09,18.0
2024-10-10,19.71
2024-10-11,19.57
2024-10-12,15.59
2024-10-13,17.86
2024-10-14,17.14
2024-10-15,19.69
2024-10-16,15.51
2024-10-17,16.14
2024-10-18,16.62
2024-10-19,18.09
2024-10-20,19.4
2024-10-21,20.0
2024-10-22,19.49
2024-10-23,17.08
2024-10-24,16.58
2024-10-25,16.02
2024-10-26,16.26
2024-10-27,16.85
2024-10-28,19.22
2024-10-29,19.61
2024-10-30,19.45
2024-10-31,19.74
2024-11-01,19.38
2024-11-02,18.86
2024-11-03,15.67
2024-11-04,16.28
2024-11-05,14.16
2024-11-06,14.88
2024-11-07,14.79
2024-11-08,11.86
2024-11-09,13.47
2024-11-10,15.24
2024-11-11,12.87
2024-11-12,10.82
2024-11-13,12.05
2024-11-14,9.62
2024-11-15,11.18
2024-11-16,10.61
2024-11-17,10.88
2024-11-18,9.66
2024-11-19,9.23
2024-11-20,11.56
2024-11-21,6.62
2024-11-22,4.75
2024-11-23,3.03
2024-11-24,7.84
2024-11-25,9.98
2024-11-26,11.85
2024-11-27,12.27
2024-11-28,10.67
2024-11-29,10.41
2024-11-30,9.71
2024-12-01,10.19
2024-12-02,9.69
2024-12-03,8.3
2024-12-04,9.34
2024-12-05,7.64
2024-12-06,7.62
2024-12-07,5.83
2024-12-08,3.7
2024-12-09,6.98
2024-12-10,7.37
2024-12-11,8.89
2024-12-12,7.13
2024-12-13,4.02
2024-12-14,3.25
2024-12-15,10.72
2024-12-16,11.11
2024-12-17,9.1
2024-12-18,9.15
2024-12-19,6.42
2024-12-20,8.75
2024-12-21,7.63
2024-12-22,5.7
2024-12-23,6.2
2024-12-24,9.4
2024-12-25,8.95
2024-12-26,8.28
2024-12-27,9.61
2024-12-28,11.06
2024-12-29,10.9
2024-12-30,10.83
2024-12-31,9.22
2025-01-01,8.14
2025-01-02,6.34
2025-01-03,8.91
2025-01-04,4.13
2025-01-05,5.41
2025-01-06,3.95
2025-01-07,8.52
2025-01-08,8.75
2025-01-09,6.19
2025-01-10,8.32
2025-01-11,5.88
2025-01-12,5.71
2025-01-13,5.2
2025-01-14,4.01
2025-01-15,7.71
2025-01-16,7.92
2025-01-17,7.15
2025-01-18,9.32
2025-01-19,5.5
2025-01-20,6.38
2025-01-21,9.9
2025-01-22,5.49
2025-01-23,9.31
2025-01-24,9.77
2025-01-25,7.55
2025-01-26,9.64
2025-01-27,6.58
2025-01-28,9.93
2025-01-29,11.03
2025-01-30,8.94
2025-01-31,7.54
2025-02-01,7.28
2025-02-02,12.13
2025-02-03,12.09
2025-02-04,8.46
2025-02-05,10.81
2025-02-06,10.92
2025-02-07,5.08
2025-02-08,3.48
2025-02-09,6.15
2025-02-10,10.5
2025-02-11,8.9
2025-02-12,8.19
2025-02-13,9.83
2025-02-14,8.8
2025-02-15,8.49
2025-02-16,5.15
2025-02-17,4.25
2025-02-18,5.46
2025-02-19,5.07
2025-02-20,8.21
2025-02-21,11.34
2025-02-22,7.88
2025-02-23,14.19
2025-02-24,13.33
2025-02-25,8.56
2025-02-26,14.29
2025-02-27,12.84
2025-02-28,11.78
2025-03-01,9.7
2025-03-02,12.14
2025-03-03,13.57
2025-03-04,14.74
2025-03-05,16.26
2025-03-06,15.46
2025-03-07,15.15
2025-03-08,15.68
2025-03-09,13.55
2025-03-10,11.27
2025-03-11,11.79
2025-03-12,11.37
2025-03-13,11.44
2025-03-14,11.24
2025-03-15,8.97
2025-03-16,12.63
2025-03-17,14.83
2025-03-18,8.88
2025-03-19,12.22
2025-03-20,13.78
2025-03-21,11.02
2025-03-22,9.14
2025-03-23,12.95
2025-03-24,14.79
2025-03-25,16.67
2025-03-26,17.48
2025-03-27,18.74
2025-03-28,18.0
2025-03-29,17.95
2025-03-30,19.48
2025-03-31,17.3
2025-04-01,14.65
2025-04-02,15.03
2025-04-03,18.59
2025-04-04,19.25
2025-04-05,20.67
2025-04-06,15.16
2025-04-07,12.61
2025-04-08,12.52
2025-04-09,15.63
2025-04-10,18.42
2025-04-11,21.02
2025-04-12,18.67
2025-04-13,15.21
2025-04-14,12.75
2025-04-15,14.22
2025-04-16,13.87
2025-04-17,13.97
2025-04-18,18.36
2025-04-19,13.58
2025-04-20,16.75
2025-04-21,18.02
2025-04-22,21.22
2025-04-23,18.68
2025-04-24,20.64
2025-04-25,20.97
2025-04-26,20.3
2025-04-27,18.56
2025-04-28,20.79
2025-04-29,22.57
2025-04-30,23.42
2025-05-01,24.91
2025-05-02,25.44
2025-05-03,23.14
2025-05-04,21.2
2025-05-05,15.06
2025-05-06,16.02
2025-05-07,16.09
2025-05-08,16.95
2025-05-09,16.19
2025-05-10,18.42
2025-05-11,19.95
2025-05-12,20.98
2025-05-13,17.85
2025-05-14,19.64
2025-05-15,23.86
2025-05-16,18.04
2025-05-17,19.38
2025-05-18,21.23
2025-05-19,22.23
2025-05-20,19.48
2025-05-21,21.17
2025-05-22,19.26
2025-05-23,20.93
2025-05-24,18.99
2025-05-25,21.59
2025-05-26,24.27
2025-05-27,21.15
2025-05-28,23.85
2025-05-29,26.77
2025-05-30,26.98
2025-05-31,28.5
2025-06-01,28.78
2025-06-02,23.45
2025-06-03,22.08
2025-06-04,21.96
2025-06-05,19.29
2025-06-06,22.87
2025-06-07,22.71
2025-06-08,25.82
2025-06-09,24.43
2025-06-10,25.73
2025-06-11,29.0
2025-06-12,29.54
2025-06-13,30.38
2025-06-14,29.34
2025-06-15,31.17
2025-06-16,30.05
2025-06-17,27.36
2025-06-18,30.17
2025-06-19,31.96
2025-06-20,30.5
2025-06-21,27.01
2025-06-22,28.42
2025-06-23,29.74
2025-06-24,31.13
2025-06-25,32.66
2025-06-26,29.38
2025-06-28,35.32
2025-06-29,34.83
2025-06-30,31.82
2025-07-01,33.27
2025-07-02,33.29
2025-07-03,32.81
2025-07-04,33.45
2025-07-05,27.78
2025-07-06,25.28
2025-07-07,26.87
2025-07-08,22.83
2025-07-09,24.82
2025-07-10,26.82
2025-07-11,28.49
2025-07-12,28.28
2025-07-13,26.57
2025-07-14,30.22
2025-07-15,31.55
2025-07-16,30.63
2025-07-17,31.88
2025-07-18,30.69
2025-07-19,29.01
2025-07-20,28.11
2025-07-21,25.97
2025-07-23,26.46
2025-07-24,19.59
2025-07-25,23.59
2025-07-26,21.84
2025-07-27,27.59
2025-07-28,25.37
2025-07-29,22.38
2025-07-30,23.87
2025-07-31,26.44
2025-08-01,24.05
2025-08-02,21.63
2025-08-03,24.0
2025-08-04,26.13
2025-08-05,27.01
2025-08-06,26.84
2025-08-07,26.97
2025-08-08,30.12
2025-08-09,31.94
2025-08-10,34.07
2025-08-11,33.85
2025-08-12,33.2
2025-08-13,33.16
2025-08-14,30.98
2025-08-15,32.16
2025-08-16,33.54
2025-08-17,31.02
2025-08-18,29.63
2025-08-19,29.44
2025-08-20,21.35
